公司,代码,通道,累计回报,最大回撤,夏普比率,交易次数,买入持有
恒瑞医药,600276.SH,10/5,-0.009128479025715786,-0.13456864456830753,0.026775826590415615,7,0.02234322193015581
恒瑞医药,600276.SH,20/10,-0.020502086694635602,-0.14450240135988757,-0.04482775635194341,5,0.02234322193015581
恒瑞医药,600276.SH,40/20,-0.08097026293728082,-0.11447092590037233,-0.5871037968896989,2,0.02234322193015581
恒瑞医药,600276.SH,55/20,0.0,0.0,,0,0.02234322193015581
百济神州,688235.SH,10/5,-0.022413059881389197,-0.32985072238273505,0.06707844306311522,13,0.1625152412471702
百济神州,688235.SH,20/10,-0.15532409697554828,-0.36742522435155356,-0.4878744552714351,11,0.1625152412471702
百济神州,688235.SH,40/20,-0.12488877198240544,-0.221443617092541,-0.6604130416826872,4,0.1625152412471702
百济神州,688235.SH,55/20,0.0,0.0,,0,0.1625152412471702
君实生物,688180.SH,10/5,0.34616912500044483,-0.154901656112031,1.217422274220943,9,-0.05521014672966962
君实生物,688180.SH,20/10,-0.18764670388776883,-0.2574620298510174,-0.7637170368610816,9,-0.05521014672966962
君实生物,688180.SH,40/20,-0.15218101326800004,-0.15218101326800004,-1.083955167278706,4,-0.05521014672966962
君实生物,688180.SH,55/20,-0.15696865482684186,-0.1589826520612756,-1.5352984861313999,4,-0.05521014672966962
复星医药,600196.SH,10/5,-0.09056755193230237,-0.1361776979664947,-0.7743511622709988,9,-0.08415257569799262
复星医药,600196.SH,20/10,-0.0780281582694039,-0.12426718397174563,-0.7080333366240875,5,-0.08415257569799262
复星医药,600196.SH,40/20,-0.06780106469110225,-0.10606531881804016,-0.6202784702771816,2,-0.08415257569799262
复星医药,600196.SH,55/20,0.0,0.0,,0,-0.08415257569799262
