模型,特征,重要性
DecisionTree,营业利润(同比增长率),0.2838421371886115
DecisionTree,MV,0.06560780479454396
DecisionTree,经营活动产生的现金流量净额(同比增长率),0.06480553775727542
DecisionTree,净资产同比增长率,0.06319259611936946
DecisionTree,"市盈率PE(TTM,扣除非经常性损益)",0.058759563971201294
DecisionTree,企业倍数(EV除EBITDA),0.05718924212335897
DecisionTree,基本每股收益(同比增长率),0.0548500948175269
DecisionTree,总资产同比增长率,0.054331549830767656
DecisionTree,市净率PB(MRQ),0.05316259676581163
DecisionTree,营业收入(同比增长率),0.036750594831397164
DecisionTree,净利润同比增长率,0.034491965111879186
DecisionTree,市盈率PE(TTM),0.0316125074260675
DecisionTree,股息率(近12个月),0.025217233904668335
DecisionTree,利润总额(同比增长率),0.023144755920098195
DecisionTree,市现率PCF(经营现金流TTM),0.023093482897434073
DecisionTree,市现率PCF(现金净流量TTM),0.023073793763098985
DecisionTree,现金净流量同比增长率,0.019266661045505847
DecisionTree,市销率PS(TTM),0.017074813885114067
DecisionTree,营业总收入(同比增长率),0.010533067846269704
RandomForest,营业利润(同比增长率),0.1541342941824025
RandomForest,净利润同比增长率,0.10455643014519171
RandomForest,基本每股收益(同比增长率),0.10335932711259858
RandomForest,企业倍数(EV除EBITDA),0.08169766942162646
RandomForest,市净率PB(MRQ),0.06410876146714777
RandomForest,MV,0.057340222452428424
RandomForest,净资产同比增长率,0.04751558459690035
RandomForest,利润总额(同比增长率),0.046245150816528725
RandomForest,经营活动产生的现金流量净额(同比增长率),0.04030878512974126
RandomForest,现金净流量同比增长率,0.037955541146352155
RandomForest,市现率PCF(现金净流量TTM),0.03703385091426563
RandomForest,总资产同比增长率,0.036592141793146474
RandomForest,市盈率PE(TTM),0.031063620412548627
RandomForest,市现率PCF(经营现金流TTM),0.029235245625558643
RandomForest,股息率(近12个月),0.027944137615415872
RandomForest,市销率PS(TTM),0.02723453530399238
RandomForest,营业收入(同比增长率),0.02645429297759073
RandomForest,"市盈率PE(TTM,扣除非经常性损益)",0.024725451844953346
RandomForest,营业总收入(同比增长率),0.02249495704161032
