模型,特征,系数
LinearRegression,企业倍数(EV除EBITDA),-0.007599360702410708
LinearRegression,市净率PB(MRQ),-0.0019266854254992249
LinearRegression,市现率PCF(现金净流量TTM),-0.001405633241322968
LinearRegression,市现率PCF(经营现金流TTM),-0.0032228696121327214
LinearRegression,市盈率PE(TTM),0.00017462156718834712
LinearRegression,"市盈率PE(TTM,扣除非经常性损益)",0.0026441672141921317
LinearRegression,市销率PS(TTM),-0.005570597602754846
LinearRegression,股息率(近12个月),-0.0001378071606502032
LinearRegression,MV,0.0012551102511084219
LinearRegression,净利润同比增长率,0.006428462239747878
LinearRegression,净资产同比增长率,-0.00683373832072585
LinearRegression,利润总额(同比增长率),0.007879956151325621
LinearRegression,基本每股收益(同比增长率),0.007735044489935864
LinearRegression,总资产同比增长率,-0.003499351405073159
LinearRegression,现金净流量同比增长率,-0.0027268809122492125
LinearRegression,经营活动产生的现金流量净额(同比增长率),-0.00024577473445283046
LinearRegression,营业利润(同比增长率),0.008024033598707533
LinearRegression,营业总收入(同比增长率),0.03208538547713167
LinearRegression,营业收入(同比增长率),-0.018062885853964677
LogisticRegression,企业倍数(EV除EBITDA),-0.039213786910241966
LogisticRegression,市净率PB(MRQ),-0.08247296242931042
LogisticRegression,市现率PCF(现金净流量TTM),-0.0028065202502635983
LogisticRegression,市现率PCF(经营现金流TTM),0.014441590138747561
LogisticRegression,市盈率PE(TTM),-0.0008787607340228327
LogisticRegression,"市盈率PE(TTM,扣除非经常性损益)",0.0155998547613424
LogisticRegression,市销率PS(TTM),-0.04211929205623961
LogisticRegression,股息率(近12个月),0.059124878546595566
LogisticRegression,MV,0.027438937639514337
LogisticRegression,净利润同比增长率,0.0026056116020353255
LogisticRegression,净资产同比增长率,-0.07609104004854753
LogisticRegression,利润总额(同比增长率),0.04728851810618302
LogisticRegression,基本每股收益(同比增长率),0.13414938197833498
LogisticRegression,总资产同比增长率,-0.01739268468300035
LogisticRegression,现金净流量同比增长率,-0.01690402663876822
LogisticRegression,经营活动产生的现金流量净额(同比增长率),0.003161375920897247
LogisticRegression,营业利润(同比增长率),0.05673046750237244
LogisticRegression,营业总收入(同比增长率),0.03265480612768955
LogisticRegression,营业收入(同比增长率),0.019526365772800328
