组合,2021/9/30,2021/12/31,2022/3/31,2022/6/30
Market,0.11363491947291363,-0.08374728013419602,0.010724408703878904,-0.09198092444861566
LinearRegression_EW,0.04132333333333334,-0.054216666666666656,0.18195333333333336,-0.02393333333333334
LinearRegression_PW,0.042152020564323475,-0.05237746176316695,0.1829638755076919,-0.027893109794934055
LogisticRegression_EW,0.03118333333333333,0.010913333333333337,0.19075666666666669,-0.032150000000000005
LogisticRegression_PW,0.031030081583523324,0.008381759049714468,0.19140316016302303,-0.03210135222599191
DecisionTree_EW,0.02355333333333333,-0.030376666666666673,0.10632333333333334,-0.10028666666666666
DecisionTree_PW,0.021646052972976948,-0.027029028665870897,0.10576517073149458,-0.10102427858651283
RandomForest_EW,0.10050333333333333,-0.05550333333333334,0.09974666666666669,-0.021476666666666668
RandomForest_PW,0.10747879337617419,-0.04954190857747424,0.09759621724080653,-0.022522718010815415
